openPrice,highPrice,lowPrice,closePrice,symbol,volume,turnover,openInterest,simple_rtn,log_rtn
61176.1,63224.96,60794.98,62432.34,BTCUSD,1715652258,27687.44883575,70607029.0,0.020534816701293535,0.02032681998249166
62432.34,62484.74,61626.83,62034.83,BTCUSD,981459019,15805.46455939,67699258.0,-0.0063670527165887725,-0.006387408848448588
62034.83,63254.49,61388.02,63148.56,BTCUSD,967006810,15519.0990667,70505936.0,0.01795330139536122,0.01779404418356521
63148.56,68566.11,62348.5,68339.44,BTCUSD,2606776986,39616.95535613,69053226.0,0.08220108265334947,0.0789970066449121
68339.44,69247.24,59255.98,63798.29,BTCUSD,3311427703,50376.75830999,293872541.0,-0.06644991530512978,-0.06876066484735341
63798.29,67650.8,62839.96,66118.47,BTCUSD,2990834973,45266.27882594,288781805.0,0.03636743241864315,0.03572174545546525
66118.47,68072.04,65607.93,66928.67,BTCUSD,1958199309,29275.77564568,288781805.0,0.012253762072836683,0.012179292468385606
66928.67,70141.09,66170.33,68266.23,BTCUSD,1861237377,27341.15209709,288781805.0,0.019984858506825187,0.019787782584845752
68266.23,68661.64,68028.02,68438.81,BTCUSD,555055155,8113.01109172,288781805.0,0.002528043514340883,0.0025248533877238037
68438.81,69972.36,68209.07,69020.65,BTCUSD,1128550791,16250.44068303,288781805.0,0.008501608955503448,0.008465673805505702
69020.65,72896.44,67108.06,72101.38,BTCUSD,1699704069,23862.71816625,288781805.0,0.04463490274287496,0.04366744900531235
72101.38,72993.19,68606.7,71440.74,BTCUSD,1947551643,27225.55748773,288781805.0,-0.009162654029645445,-0.009204889333690534
71440.74,73682.16,71315.63,73122.83,BTCUSD,1461415139,20072.19952103,288781805.0,0.02354524883140896,0.02327233504076585
73122.83,73788.84,68487.19,71366.36,BTCUSD,2077090883,29028.74906124,314122475.0,-0.024020815386931793,-0.0243140200371822
71366.36,72397.34,65571.75,69501.1,BTCUSD,3308141600,48360.15211698,315639172.0,-0.026136403762220706,-0.026484030077220264
69501.1,70047.18,64780.0,65256.81,BTCUSD,2166880484,31928.8949081,331009782.0,-0.061067954320147555,-0.06301217121067192
65256.81,68878.35,64549.77,68364.66,BTCUSD,2122159494,31768.09034306,337762010.0,0.0476249145491483,0.04652561587067125
68364.66,68926.07,66582.87,67611.55,BTCUSD,2046212094,30255.56969356,319049481.0,-0.011016071754031964,-0.011077198001103883
67611.55,68124.17,61521.66,61913.42,BTCUSD,3281108279,51100.51090927,320836215.0,-0.08427746442730577,-0.08804186895756695
61913.42,68144.74,60783.73,67856.8,BTCUSD,3365980821,52780.69262479,319358137.0,0.0959950201426445,0.09166264485003096
67856.8,68236.89,64547.72,65491.71,BTCUSD,2388087161,35861.18494568,309800036.0,-0.034854133999834946,-0.035476032589285306
65491.71,66642.14,62301.63,63814.57,BTCUSD,2335202530,36289.62739257,309826993.0,-0.02560843196795437,-0.025942035561436316
63814.57,66005.67,63022.08,64004.63,BTCUSD,1457948842,22572.07973083,313445746.0,0.0029783167072974237,0.0029738903087262883
64004.63,67630.4,63797.78,67211.54,BTCUSD,1517213513,23217.53963973,313408103.0,0.050104344013862656,0.048889534483336584
67211.54,71206.31,66401.97,69890.0,BTCUSD,2006910063,29198.38960935,313903416.0,0.039851192220859755,0.03907761851271207
69890.0,71564.39,69304.12,69992.17,BTCUSD,1757772812,24992.88735039,312219344.0,0.0014618686507368306,0.0014608011609873873
69992.17,71757.71,68388.21,69437.22,BTCUSD,1947524496,27932.50307774,316205434.0,-0.007928744029510715,-0.007960343661546795
69437.22,71582.13,68854.85,70797.53,BTCUSD,1477219909,20950.2191988,334915528.0,0.01959050203910806,0.01940107809698028
70797.53,70917.37,69052.18,69903.91,BTCUSD,982080700,14019.88576538,334992188.0,-0.012622191762904689,-0.012702528357179861
69903.91,70358.3,69582.42,69630.49,BTCUSD,483592083,6902.46720158,342386646.0,-0.003911369192367009,-0.0039190386019736035
69630.49,71398.1,69601.55,71323.03,BTCUSD,618189605,8755.46239141,347480887.0,0.02430745496692599,0.02401673054274676
71323.03,71335.87,68065.53,69685.04,BTCUSD,1282744926,18451.85462083,335934336.0,-0.022965793797599554,-0.02323361608612015
69685.04,69703.07,64575.32,65464.98,BTCUSD,2127079535,32143.51313141,332811291.0,-0.060559052559918,-0.062470317410021126
65464.98,66934.37,64509.29,65986.98,BTCUSD,1556593769,23576.13981448,331095959.0,0.007973728854725026,0.007942106665418265
65986.98,69351.9,65080.64,68523.01,BTCUSD,1516783312,22551.09562806,325309531.0,0.03843227861011367,0.037712151432667894
68523.01,68769.07,65999.81,67855.57,BTCUSD,1688146911,25035.56123066,325708856.0,-0.00974037772129377,-0.009788125507673159
67855.57,69682.97,67481.64,68913.71,BTCUSD,822417257,12068.41688071,325814107.0,0.015594003557850789,0.01547366649642513
68913.71,70301.65,68859.31,69356.88,BTCUSD,956484834,13770.71798538,325532026.0,0.006430795845993487,0.006410206501823767
69356.88,72754.32,69061.75,71626.15,BTCUSD,1362287671,19081.36295074,327128443.0,0.032718743980409526,0.03219488199085952
71626.15,71754.52,68216.05,69123.71,BTCUSD,1555348653,22235.69363647,332048364.0,-0.034937519327787214,-0.0355624329285522
69123.71,71157.92,67479.39,70634.57,BTCUSD,1556823062,22541.05723218,332706476.0,0.021857333757114628,0.02162188688760865
70634.57,71298.88,69562.93,70027.42,BTCUSD,1381851140,19629.21096634,326048768.0,-0.008595649410763184,-0.008632805076427167
70027.42,71246.19,65145.42,67152.61,BTCUSD,1551432585,22564.92358133,326942036.0,-0.041052633382752,-0.04191908921565389
67152.61,68302.53,60908.79,64024.68,BTCUSD,2078009633,31694.77755339,328235104.0,-0.04657942558003325,-0.04769915639394644
