startTime,openPrice,highPrice,lowPrice,closePrice,symbol,volume,turnover,openInterest
2024-03-14,73122.83,73788.84,68487.19,71366.36,BTCUSD,2077090883,29028.74906124,314122475.00000000
2024-03-13,71440.74,73682.16,71315.63,73122.83,BTCUSD,1461415139,20072.19952103,288781805.00000000
2024-03-12,72101.38,72993.19,68606.7,71440.74,BTCUSD,1947551643,27225.55748773,288781805.00000000
2024-03-11,69020.65,72896.44,67108.06,72101.38,BTCUSD,1699704069,23862.71816625,288781805.00000000
2024-03-10,68438.81,69972.36,68209.07,69020.65,BTCUSD,1128550791,16250.44068303,288781805.00000000
2024-03-09,68266.23,68661.64,68028.02,68438.81,BTCUSD,555055155,8113.01109172,288781805.00000000
2024-03-08,66928.67,70141.09,66170.33,68266.23,BTCUSD,1861237377,27341.15209709,288781805.00000000
2024-03-07,66118.47,68072.04,65607.93,66928.67,BTCUSD,1958199309,29275.77564568,288781805.00000000
2024-03-06,63798.29,67650.8,62839.96,66118.47,BTCUSD,2990834973,45266.27882594,288781805.00000000
2024-03-05,68339.44,69247.24,59255.98,63798.29,BTCUSD,3311427703,50376.75830999,293872541.00000000
2024-03-04,63148.56,68566.11,62348.5,68339.44,BTCUSD,2606776986,39616.95535613,69053226.00000000
2024-03-03,62034.83,63254.49,61388.02,63148.56,BTCUSD,967006810,15519.0990667,70505936.00000000
2024-03-02,62432.34,62484.74,61626.83,62034.83,BTCUSD,981459019,15805.46455939,67699258.00000000
2024-03-01,61176.1,63224.96,60794.98,62432.34,BTCUSD,1715652258,27687.44883575,70607029.00000000
2024-02-29,62502.34,63659.8,60360.61,61176.1,BTCUSD,2732514324,43966.19113353,65229492.00000000
2024-02-28,57070.53,64064.36,56726.01,62502.34,BTCUSD,2803232395,46388.09335552,60523796.00000000
2024-02-27,54512.73,57622.56,54476.2,57070.53,BTCUSD,1848371617,32567.37565889,78199758.00000000
2024-02-26,51728.37,54939.24,50918.17,54512.73,BTCUSD,1023275878,19293.51102554,79554613.00000000
2024-02-25,51574.81,51959.7,51287.2,51728.37,BTCUSD,407741517,7889.25025015,79469164.00000000
2024-02-24,50744.94,51691.59,50580.94,51574.81,BTCUSD,361794450,7063.74453626,92550861.00000000
2024-02-23,51262.41,51508.12,50524.33,50744.94,BTCUSD,830533843,16264.50710642,80564501.00000000
2024-02-22,51852.68,52062.46,50913.87,51262.41,BTCUSD,991737805,19224.88900377,79059569.00000000
2024-02-21,52260.24,52369.27,50629.59,51852.68,BTCUSD,1214013687,23630.98648859,79578545.00000000
2024-02-20,51779.42,52985.23,50765.33,52260.24,BTCUSD,1143996235,22033.12128748,74592837.00000000
2024-02-19,52145.54,52493.39,51689.87,51779.42,BTCUSD,693518783,13293.95044835,72443558.00000000
2024-02-18,51665.61,52395.03,51189.99,52145.54,BTCUSD,611448221,11797.29849707,71948977.00000000
2024-02-17,52162.16,52207.64,50643.57,51665.61,BTCUSD,689705078,13398.03892163,75540670.00000000
2024-02-16,51933.28,52597.67,51605.79,52162.16,BTCUSD,888180504,17049.4972261,78399787.00000000
2024-02-15,51850.37,52840.35,51354.62,51933.28,BTCUSD,1308829640,25096.36703447,69651267.00000000
2024-02-14,49732.3,52070.44,49262.49,51850.37,BTCUSD,1385656281,27057.59067018,65602564.00000000
2024-02-13,49941.83,50389.35,48335.67,49732.3,BTCUSD,1280343662,25887.1523839,148532786.00000000
2024-02-12,48310.12,50340.55,47717.62,49941.83,BTCUSD,1416071549,28815.79029823,69292783.00000000
2024-02-11,47769.01,48605.42,47590.39,48310.12,BTCUSD,850953535,17661.93951176,66243431.00000000
2024-02-10,47155.85,48178.75,46894.22,47769.01,BTCUSD,656592823,13841.74715705,66259576.00000000
2024-02-09,45305.06,48207.67,45255.24,47155.85,BTCUSD,1255983814,26720.06689247,66065073.00000000
2024-02-08,44340.1,45619.3,44334.27,45305.06,BTCUSD,984393833,21887.70290315,68296474.00000000
2024-02-07,43093.61,44401.13,42765.34,44340.1,BTCUSD,761107633,17542.7105275,68325833.00000000
2024-02-06,42664.37,43359.19,42523.46,43093.61,BTCUSD,679090017,15808.08510035,68243750.00000000
2024-02-05,42569.44,43520.32,42015.0,42664.37,BTCUSD,760126443,17778.11299671,68638664.00000000
2024-02-04,43000.31,43097.74,42232.48,42569.44,BTCUSD,379030644,8857.43675897,69738920.00000000
2024-02-03,43182.07,43356.03,42870.64,43000.31,BTCUSD,272082376,6313.91574758,69270410.00000000
2024-02-02,43075.6,43455.16,42532.1,43182.07,BTCUSD,716034334,16647.20570396,69961594.00000000
2024-02-01,42553.61,43268.31,41852.83,43075.6,BTCUSD,1034508620,24363.63329819,69110043.00000000
2024-01-31,42944.18,43735.38,42271.78,42553.61,BTCUSD,1126910883,26252.26746106,68303999.00000000
2024-01-30,43302.23,43861.64,42687.51,42944.18,BTCUSD,843630843,19440.60410414,70659099.00000000
2024-01-29,42029.73,43309.26,41804.46,43302.23,BTCUSD,849880628,19989.07465278,70716275.00000000
2024-01-28,42124.59,42824.11,41622.5,42029.73,BTCUSD,725777067,17177.85787831,70337285.00000000
2024-01-27,41815.07,42193.81,41393.8,42124.59,BTCUSD,392138693,9383.18656787,70413413.00000000
2024-01-26,39938.16,42234.68,39812.35,41815.07,BTCUSD,1077935191,26175.65335812,70721496.00000000
2024-01-25,40077.44,40285.1,39524.97,39938.16,BTCUSD,849458645,21281.93522805,71744437.00000000
2024-01-24,39875.99,40526.37,39424.31,40077.44,BTCUSD,1180857272,29573.94881039,73577141.00000000
2024-01-23,39526.05,40140.06,38512.23,39875.99,BTCUSD,1547164378,39442.42184824,77913927.00000000
2024-01-22,41572.44,41672.51,39397.93,39526.05,BTCUSD,1581616264,39017.95373456,79627048.00000000
2024-01-21,41681.89,41862.56,41491.76,41572.44,BTCUSD,242604626,5820.61124484,79466433.00000000
2024-01-20,41625.27,41849.0,41433.28,41681.89,BTCUSD,433583477,10425.57924716,79604370.00000000
2024-01-19,41289.2,42153.54,40249.5,41625.27,BTCUSD,1311602009,31847.99014915,79483906.00000000
2024-01-18,42740.26,42875.75,40607.47,41289.2,BTCUSD,1134645540,27118.68619842,79865341.00000000
2024-01-17,43129.83,43184.5,42168.87,42740.26,BTCUSD,948827336,22253.77225853,84438481.00000000
2024-01-16,42492.53,43566.56,42045.71,43129.83,BTCUSD,1216357873,28340.66917447,78482658.00000000
2024-01-15,41705.77,43323.89,41687.98,42492.53,BTCUSD,670878022,15726.77895847,78409941.00000000
2024-01-14,42838.96,43063.44,41700.78,41705.77,BTCUSD,515922828,12121.66946239,83242961.00000000
2024-01-13,42776.12,43244.72,42439.57,42838.96,BTCUSD,664063518,15506.84325863,74104642.00000000
2024-01-12,46343.64,46516.2,41455.62,42776.12,BTCUSD,916144165,20523.0984597,74238207.00000000
2024-01-11,46669.28,49015.99,45578.4,46343.64,BTCUSD,868352901,18545.91403928,80627773.00000000
2024-01-10,46122.13,47714.22,44317.45,46669.28,BTCUSD,1171558723,25548.27213743,76269932.00000000
2024-01-09,46987.03,47912.02,44864.98,46122.13,BTCUSD,922939555,19820.84534744,75292031.00000000
2024-01-08,43947.84,47301.13,43207.7,46987.03,BTCUSD,810996051,18081.68344125,73817030.00000000
2024-01-07,43988.4,44498.62,43633.84,43947.84,BTCUSD,378772202,8597.04510056,73405844.00000000
2024-01-06,44184.68,44251.66,43435.58,43988.4,BTCUSD,446176322,10177.74656019,74427961.00000000
2024-01-05,44192.89,44391.96,42550.61,44184.68,BTCUSD,1580574390,36139.42799141,70979221.00000000
2024-01-04,42862.5,44796.2,42650.78,44192.89,BTCUSD,1486944137,34112.22805825,67325876.00000000
2024-01-03,44972.21,45514.61,40634.17,42862.5,BTCUSD,1866818165,43188.71250385,66027182.00000000
2024-01-02,44196.74,45918.41,44176.98,44972.21,BTCUSD,1678956836,37087.31066459,67724170.00000000
2024-01-01,42280.78,44204.26,42183.19,44196.74,BTCUSD,798428072,18562.57604139,73368460.00000000
